learning_rate,batch_size,dropout,weight_decay,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,16,0.3,1e-05,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.17869362235069275,0.8333333134651184,0.9125000238418579,0.2222222238779068,1.0,0.824999988079071,0.3636363744735718,0.17869362235069275,0.8333333134651184,0.9125000238418579,0.2222222238779068,1.0,0.824999988079071,0.3636363744735718
0.0001,16,0.3,0.0001,0.30000001192092896,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.24743813276290894,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.19858573377132416,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,16,0.3,0.001,0.20000000298023224,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.19305409491062164,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.19141773879528046,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,16,0.5,1e-05,0.3499999940395355,0.8809523582458496,0.4625000059604645,0.0,0.0,0.925000011920929,,0.131947860121727,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.131947860121727,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,16,0.5,0.0001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.028425363823771477,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.028425363823771477,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,16,0.5,0.001,0.3499999940395355,0.9523809552192688,0.5,,0.0,1.0,,0.3832932710647583,0.9523809552192688,0.5,,0.0,1.0,,0.3832932710647583,0.9523809552192688,0.5,,0.0,1.0,
0.0001,16,0.7,1e-05,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.1758956015110016,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394,0.1758956015110016,0.7857142686843872,0.887499988079071,0.1818181872367859,1.0,0.7749999761581421,0.3076923191547394
0.0001,16,0.7,0.0001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.015239372849464417,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.005065315868705511,0.738095223903656,0.862500011920929,0.1538461595773697,1.0,0.7250000238418579,0.2666666805744171
0.0001,16,0.7,0.001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.2083147019147873,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.20607079565525055,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204
0.0001,32,0.3,1e-05,0.20000000298023224,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.216117724776268,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.18887142837047577,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
0.0001,32,0.3,0.0001,0.25,0.9523809552192688,0.737500011920929,0.5,0.5,0.9750000238418579,0.5,0.23042623698711395,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.23042623698711395,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,32,0.3,0.001,0.30000001192092896,0.8809523582458496,0.4625000059604645,0.0,0.0,0.925000011920929,,0.2233380377292633,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.2233380377292633,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,32,0.5,1e-05,0.25,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.2469838559627533,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.12880195677280426,0.8095238208770752,0.8999999761581421,0.20000000298023224,1.0,0.800000011920929,0.3333333432674408
0.0001,32,0.5,0.0001,0.15000000596046448,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.1307360827922821,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.11686651408672333,0.8333333134651184,0.9125000238418579,0.2222222238779068,1.0,0.824999988079071,0.3636363744735718
0.0001,32,0.5,0.001,0.25,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.15912336111068726,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068,0.15912336111068726,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,32,0.7,1e-05,0.15000000596046448,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.16882461309432983,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.12551282346248627,0.8333333134651184,0.675000011920929,0.1428571492433548,0.5,0.8500000238418579,0.2222222238779068
0.0001,32,0.7,0.0001,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.16791431605815887,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096,0.16791431605815887,0.8809523582458496,0.699999988079071,0.20000000298023224,0.5,0.8999999761581421,0.2857142984867096
0.0001,32,0.7,0.001,0.25,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.2032303363084793,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224,0.2032303363084793,0.8095238208770752,0.6625000238418579,0.125,0.5,0.824999988079071,0.20000000298023224
