learning_rate,batch_size,dropout,weight_decay,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
1.00E-05,16,0.5,1.00E-05,0.5,0.976190448,0.75,1,0.5,1,0.666666687,0.495802343,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.494900197,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
1.00E-05,8,0.3,0.0001,0.449999988,0.952380955,0.975000024,0.5,1,0.949999988,0.666666687,0.446859807,0.785714269,0.887499988,0.181818187,1,0.774999976,0.307692319,0.446859807,0.785714269,0.887499988,0.181818187,1,0.774999976,0.307692319
0.0001,2,0.5,0.001,0.349999994,0.952380955,0.737500012,0.5,0.5,0.975000024,0.5,0.346848309,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.346939951,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
1.00E-05,2,0.3,0.001,0.449999988,0.928571403,0.725000024,0.333333343,0.5,0.949999988,0.400000006,0.44565171,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.44565171,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159
1.00E-05,4,0.3,0.0001,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.434561849,0.642857134,0.8125,0.117647059,1,0.625,0.210526317,0.434561849,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
1.00E-05,4,0.3,0.001,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.386957914,0.809523821,0.899999976,0.200000003,1,0.800000012,0.333333343,0.386957914,0.809523821,0.899999976,0.200000003,1,0.800000012,0.333333343
1.00E-05,8,0.7,0.0001,0.5,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.489490956,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.489490956,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
1.00E-05,2,0.3,1.00E-05,0.449999988,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.443292022,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.433242351,0.642857134,0.574999988,0.06666667,0.5,0.649999976,0.117647059
0.0001,2,0.3,1.00E-05,0.449999988,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.444832653,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672,0.444832653,0.761904776,0.637499988,0.100000001,0.5,0.774999976,0.166666672
0.0001,2,0.5,0.0001,0.449999988,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.4298172,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.4298172,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
0.0001,8,0.5,1.00E-05,0.400000006,0.809523821,0.662500024,0.125,0.5,0.824999988,0.200000003,0.3979294,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.3979294,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
1.00E-05,8,0.7,0.001,0.449999988,0.738095224,0.625,0.090909094,0.5,0.75,0.15384616,0.447340429,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047,0.447340429,0.547619045,0.762499988,0.095238097,1,0.524999976,0.173913047
0.0001,16,0.5,0.0001,0.5,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.499996245,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.499996245,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996
1.00E-05,8,0.5,0.0001,0.449999988,0.5,0.737500012,0.086956523,1,0.474999994,0.159999996,0.456835598,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.453423947,0.809523821,0.899999976,0.200000003,1,0.800000012,0.333333343
0.0001,2,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.107417203,0.071428575,0.275000006,0.025641026,0.5,0.050000001,0.048780486,0.107417203,0.071428575,0.275000006,0.025641026,0.5,0.050000001,0.048780486
0.0001,2,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.33276698,0.119047619,0.537500024,0.051282052,1,0.075000003,0.097560972,0.337033987,0.190476194,0.574999988,0.055555556,1,0.150000006,0.105263159
0.0001,2,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.4792431,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.476216733,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
0.0001,2,0.7,0.0001,0.349999994,0.047619049,0.5,0.047619049,1,0,0.090909094,0.355929732,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.355929732,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159
0.0001,2,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.439124793,0.142857149,0.3125,0.027777778,0.5,0.125,0.052631579,0.447821677,0.666666687,0.349999994,0,0,0.699999988,
0.0001,4,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.410490036,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.410490036,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
0.0001,4,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.35467726,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998,0.355222523,0.571428597,0.537500024,0.055555556,0.5,0.574999988,0.100000001
0.0001,4,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.054505683,0.261904776,0.375,0.032258064,0.5,0.25,0.060606062,0.055702563,0.40476191,0.449999988,0.039999999,0.5,0.400000006,0.074074075
0.0001,4,0.5,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.313114673,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125,0.313114673,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125
0.0001,4,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.057522178,0.071428575,0.512499988,0.048780486,1,0.025,0.093023255,0.057522178,0.071428575,0.512499988,0.048780486,1,0.025,0.093023255
0.0001,4,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.424204409,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003,0.424204409,0.619047642,0.800000012,0.111111112,1,0.600000024,0.200000003
0.0001,4,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.806952119,0.952380955,0.5,,0,1,,0.097694449,0.047619049,0.5,0.047619049,1,0,0.090909094
0.0001,8,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.89345777,0.952380955,0.5,,0,1,,0.049649026,0.5,0.262499988,0,0,0.524999976,
0.0001,8,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.097847767,0.880952358,0.462500006,0,0,0.925000012,,0.055703714,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
0.0001,8,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.10830836,0.428571433,0.462500006,0.041666668,0.5,0.425000012,0.07692308,0.10830836,0.428571433,0.462500006,0.041666668,0.5,0.425000012,0.07692308
0.0001,8,0.5,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.262705415,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125,0.262705415,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125
0.0001,8,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,1.920802355,0.952380955,0.5,,0,1,,0.056717787,0.190476194,0.574999988,0.055555556,1,0.150000006,0.105263159
0.0001,8,0.7,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.046780657,0.071428575,0.275000006,0.025641026,0.5,0.050000001,0.048780486,0.049652305,0.547619045,0.524999976,0.052631579,0.5,0.550000012,0.095238097
0.0001,8,0.7,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.345283002,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159,0.342202038,0.380952388,0.4375,0.03846154,0.5,0.375,0.071428575
0.0001,8,0.7,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.23456265,0.261904776,0.612500012,0.060606062,1,0.224999994,0.114285715,0.235203862,0.452380955,0.712499976,0.079999998,1,0.425000012,0.148148149
0.0001,16,0.3,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.642422438,0.095238097,0.524999976,0.050000001,1,0.050000001,0.095238097,0.644778848,0.095238097,0.050000001,0,0,0.100000001,
0.0001,16,0.3,0.0001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.490480423,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.490480423,0.523809552,0.75,0.090909094,1,0.5,0.166666672
0.0001,16,0.3,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.489222258,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.489222258,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
0.0001,16,0.5,1.00E-05,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.553311944,0.071428575,0.512499988,0.048780486,1,0.025,0.093023255,0.562571406,0.095238097,0.287499994,0.02631579,0.5,0.075000003,0.050000001
0.0001,16,0.5,0.001,0,0.047619049,0.5,0.047619049,1,0,0.090909094,0.537621677,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.537621677,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343
