learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.0001,2,0.1,0.0001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.25523582100868225,0.5,0.737500011920929,0.08695652335882187,1.0,0.4749999940395355,0.1599999964237213,0.25682079792022705,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,2,0.1,0.0001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.39359185099601746,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859,0.3952043056488037,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
0.0001,2,0.1,0.0001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.47783252596855164,0.5476190447807312,0.5249999761581421,0.05263157933950424,0.5,0.550000011920929,0.095238097012043,0.4793558120727539,0.8333333134651184,0.4375,0.0,0.0,0.875,
0.0001,2,0.1,0.0001,2,64,0.550000011920929,0.9523809552192688,0.5,,0.0,1.0,,0.5319613814353943,0.9523809552192688,0.5,,0.0,1.0,,0.5243560075759888,0.7142857313156128,0.375,0.0,0.0,0.75,
0.0001,2,0.1,0.0001,2,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.46875128149986267,0.6904761791229248,0.6000000238418579,0.07692307978868484,0.5,0.699999988079071,0.13333334028720856,0.468937486410141,0.7857142686843872,0.6499999761581421,0.1111111119389534,0.5,0.800000011920929,0.1818181872367859
0.0001,2,0.1,0.0001,2,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4112359583377838,0.4285714328289032,0.699999988079071,0.07692307978868484,1.0,0.4000000059604645,0.1428571492433548,0.4114001989364624,0.5952380895614624,0.7875000238418579,0.10526315867900848,1.0,0.574999988079071,0.190476194024086
0.0001,2,0.1,0.001,1,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.44261232018470764,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.44344860315322876,0.095238097012043,0.2874999940395355,0.02631578966975212,0.5,0.07500000298023224,0.05000000074505806
0.0001,2,0.1,0.001,1,128,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.4354912340641022,0.4047619104385376,0.44999998807907104,0.03999999910593033,0.5,0.4000000059604645,0.07407407462596893,0.4378516972064972,0.761904776096344,0.637499988079071,0.10000000149011612,0.5,0.7749999761581421,0.1666666716337204
0.0001,2,0.1,0.001,1,256,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.49009400606155396,0.190476194024086,0.3375000059604645,0.029411764815449715,0.5,0.17499999701976776,0.0555555559694767,0.4908052682876587,0.1666666716337204,0.08749999850988388,0.0,0.0,0.17499999701976776,
0.0001,2,0.1,0.001,2,64,0.0,0.0476190485060215,0.5,0.0476190485060215,1.0,0.0,0.09090909361839294,0.38362008333206177,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408,0.38362008333206177,0.9047619104385376,0.7124999761581421,0.25,0.5,0.925000011920929,0.3333333432674408
