version,learning_rate,batch_size,dropout,weight_decay,num_layers,hidden_size,gamma_fl,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,0.0001,2,0.3,0.0001,1,64,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2711659073829651,0.3611111044883728,0.421875,0.08695652335882187,0.5,0.34375,0.14814814925193787,0.27118945121765137,0.4722222089767456,0.484375,0.10526315867900848,0.5,0.46875,0.17391304671764374
1,0.0001,2,0.3,0.0001,1,64,2,True,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.08905217051506042,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.08905217051506042,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
2,0.0001,2,0.3,0.0001,1,64,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.3145351707935333,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885,0.3145351707935333,0.5277777910232544,0.625,0.15789473056793213,0.75,0.5,0.260869562625885
3,0.0001,2,0.3,0.0001,1,64,3,True,0.10000000149011612,0.8055555820465088,0.78125,0.3333333432674408,0.75,0.8125,0.4615384638309479,0.11121018975973129,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.11121018975973129,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816
4,0.0001,2,0.3,0.0001,1,128,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.26681798696517944,0.4444444477558136,0.578125,0.13636364042758942,0.75,0.40625,0.23076923191547394,0.2668214440345764,0.4722222089767456,0.59375,0.1428571492433548,0.75,0.4375,0.23999999463558197
5,0.0001,2,0.3,0.0001,1,128,2,True,0.10000000149011612,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.0971299484372139,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.0971299484372139,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
6,0.0001,2,0.3,0.0001,1,128,3,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.31202206015586853,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276,0.31202206015586853,0.3055555522441864,0.5,0.1111111119389534,0.75,0.25,0.19354838132858276
7,0.0001,2,0.3,0.0001,1,128,3,True,0.10000000149011612,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.10988882929086685,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.10988882929086685,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
8,0.0001,2,0.3,0.0001,1,256,2,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23006752133369446,0.6666666865348816,0.59375,0.1666666716337204,0.5,0.6875,0.25,0.23002657294273376,0.3333333432674408,0.515625,0.11538461595773697,0.75,0.28125,0.20000000298023224
9,0.0001,2,0.3,0.0001,1,256,2,True,0.05000000074505806,0.9166666865348816,0.84375,0.6000000238418579,0.75,0.9375,0.6666666865348816,0.05187510699033737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.05187510699033737,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
