version,learning_rate,batch_size,dropout,weight_decay,rnn_type,hidden_size,num_layers,use_clinical_data,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0,0.0001,1,0.3,0.001,gru,64,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.25915297865867615,0.8888888955116272,0.5,,0.0,1.0,,0.25805315375328064,0.3888888955116272,0.4375,0.09090909361839294,0.5,0.375,0.1538461595773697
1,0.0001,1,0.3,0.001,gru,64,1,True,0.15000000596046448,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.15455074608325958,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192,0.15455074608325958,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
2,0.0001,1,0.3,0.001,gru,128,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.23832106590270996,0.1111111119389534,0.390625,0.0882352963089943,0.75,0.03125,0.15789473056793213,0.24273879826068878,0.1944444477558136,0.328125,0.06896551698446274,0.5,0.15625,0.12121212482452393
3,0.0001,1,0.3,0.001,gru,128,1,True,0.15000000596046448,0.8611111044883728,0.484375,0.0,0.0,0.96875,,0.10484758019447327,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.10484758019447327,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
4,0.0001,1,0.3,0.001,gru,256,1,False,0.20000000298023224,0.1111111119389534,0.390625,0.0882352963089943,0.75,0.03125,0.15789473056793213,0.21433746814727783,0.1388888955116272,0.40625,0.09090909361839294,0.75,0.0625,0.1621621549129486,0.21464894711971283,0.1944444477558136,0.328125,0.06896551698446274,0.5,0.15625,0.12121212482452393
5,0.0001,1,0.3,0.001,gru,256,1,True,0.20000000298023224,0.8888888955116272,0.5,,0.0,1.0,,0.11692368239164352,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.11692368239164352,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408
6,0.0001,1,0.3,0.001,gru,64,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2827679514884949,0.0833333358168602,0.265625,0.06060606241226196,0.5,0.03125,0.10810811072587967,0.28479552268981934,0.1666666716337204,0.3125,0.06666667014360428,0.5,0.125,0.11764705926179886
7,0.0001,1,0.3,0.001,gru,64,1,True,0.20000000298023224,0.8611111044883728,0.8125,0.4285714328289032,0.75,0.875,0.5454545617103577,0.2261454313993454,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.2261454313993454,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
8,0.0001,1,0.3,0.001,gru,128,1,False,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.2774141728878021,0.3888888955116272,0.4375,0.09090909361839294,0.5,0.375,0.1538461595773697,0.28521910309791565,0.5555555820465088,0.53125,0.125,0.5,0.5625,0.20000000298023224
9,0.0001,1,0.3,0.001,gru,128,1,True,0.15000000596046448,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.14520563185214996,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.16357293725013733,0.9166666865348816,0.734375,0.6666666865348816,0.5,0.96875,0.5714285969734192
