learning_rate,batch_size,dropout,weight_decay,gamma_fl,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
0.01,8,0.0,0.0001,2,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.023897381499409676,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772,0.023897381499409676,0.6944444179534912,0.71875,0.23076923191547394,0.75,0.6875,0.3529411852359772
0.01,8,0.0,0.0001,3,0.15000000596046448,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.12876208126544952,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.12876208126544952,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,8,0.0,0.001,2,0.10000000149011612,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.10731755197048187,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.10731755197048187,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,8,0.0,0.001,3,0.20000000298023224,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.16796311736106873,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.18748438358306885,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,8,0.0,0.01,2,0.25,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.2631774842739105,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.2631774842739105,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,8,0.0,0.01,3,0.30000001192092896,0.5,0.71875,0.1818181872367859,1.0,0.4375,0.3076923191547394,0.3328501880168915,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.3328501880168915,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,8,0.1,0.0001,2,0.05000000074505806,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.05459895730018616,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096,0.05459895730018616,0.8611111044883728,0.59375,0.3333333432674408,0.25,0.9375,0.2857142984867096
0.01,8,0.1,0.0001,3,0.15000000596046448,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.1528463065624237,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.081827312707901,0.8333333134651184,0.578125,0.25,0.25,0.90625,0.25
0.01,8,0.1,0.001,2,0.10000000149011612,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.07185568660497665,0.8055555820465088,0.671875,0.2857142984867096,0.5,0.84375,0.3636363744735718,0.09139378368854523,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645
0.01,8,0.1,0.001,3,0.15000000596046448,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136,0.17138364911079407,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5,0.17138364911079407,0.8888888955116272,0.71875,0.5,0.5,0.9375,0.5
0.01,8,0.1,0.01,2,0.25,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.2594921290874481,0.8333333134651184,0.6875,0.3333333432674408,0.5,0.875,0.4000000059604645,0.26323768496513367,0.8611111044883728,0.703125,0.4000000059604645,0.5,0.90625,0.4444444477558136
0.01,8,0.1,0.01,3,0.0,0.1111111119389534,0.5,0.1111111119389534,1.0,0.0,0.20000000298023224,0.33758509159088135,0.8333333134651184,0.796875,0.375,0.75,0.84375,0.5,0.3246963322162628,0.7222222089767456,0.84375,0.2857142984867096,1.0,0.6875,0.4444444477558136
0.01,8,0.3,0.0001,2,0.10000000149011612,0.8888888955116272,0.609375,0.5,0.25,0.96875,0.3333333432674408,0.011939028277993202,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579,0.011939028277993202,0.8888888955116272,0.828125,0.5,0.75,0.90625,0.6000000238418579
