augmentation_techniques,p_augmentation,p_augmentation_per_technique,"f1_t
",f1_Accuracy,f1_AUC,f1_Precision,f1_Recall,f1_Specificity,f1_F1,"j_t
",j_Accuracy,j_AUC,j_Precision,j_Recall,j_Specificity,j_F1,"roc_t
",roc_Accuracy,roc_AUC,roc_Precision,roc_Recall,roc_Specificity,roc_F1
"['shear', 'flip', 'gaussian_noise', 'brightness']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.344200432,0.642857134,0.8125,0.117647059,1,0.625,0.210526317,0.344200432,0.642857134,0.8125,0.117647059,1,0.625,0.210526317
"['flip', 'gaussian_noise']",0.5,0.8,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.333590031,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149,0.333590031,0.714285731,0.612500012,0.083333336,0.5,0.725000024,0.142857149
"['shear', 'flip']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.446290493,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194,0.446859151,0.690476179,0.600000024,0.07692308,0.5,0.699999988,0.13333334
"['shear', 'brightness']",0.5,0.5,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.321041077,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125,0.321041077,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
['shear'],0.3,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.3103773,0.523809552,0.75,0.090909094,1,0.5,0.166666672,0.313737273,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
"['gaussian_noise', 'brightness']",0.3,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.285953403,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112,0.285953403,0.619047642,0.5625,0.0625,0.5,0.625,0.111111112
"['flip', 'gaussian_noise']",0.3,0.8,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.353234231,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.366013318,0.59523809,0.550000012,0.05882353,0.5,0.600000024,0.105263159
['flip'],0.3,0.5,0.400000006,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.31372574,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.319933206,0.523809552,0.512499988,0.050000001,0.5,0.524999976,0.090909094
"['shear', 'flip', 'brightness']",0.3,0.8,0.449999988,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.319760293,0.309523821,0.637499988,0.064516127,1,0.275000006,0.121212125,0.332952023,0.5,0.5,0.047619049,0.5,0.5,0.086956523
"['flip', 'gaussian_noise', 'brightness']",0.5,0.5,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.320496649,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998,0.320496649,0.452380955,0.474999994,0.043478262,0.5,0.449999988,0.079999998
"['flip', 'brightness']",0.5,0.8,0.349999994,0.90476191,0.712499976,0.25,0.5,0.925000012,0.333333343,0.312173367,0.333333343,0.649999976,0.06666667,1,0.300000012,0.125,0.317000687,0.40476191,0.449999988,0.039999999,0.5,0.400000006,0.074074075
"['shear', 'flip', 'brightness']",0.3,0.5,0.349999994,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.318444908,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334,0.318444908,0.380952388,0.675000012,0.071428575,1,0.349999994,0.13333334
"['shear', 'brightness']",0.5,0.8,0.349999994,0.857142866,0.6875,0.166666672,0.5,0.875,0.25,0.329641819,0.428571433,0.462500006,0.041666668,0.5,0.425000012,0.07692308,0.340304166,0.666666687,0.587499976,0.071428575,0.5,0.675000012,0.125
"['flip', 'brightness']",0.5,0.5,0.400000006,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.336329997,0.59523809,0.787500024,0.105263159,1,0.574999988,0.190476194,0.359644592,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224
"['shear', 'brightness']",0.3,0.5,0.349999994,0.833333313,0.675000012,0.142857149,0.5,0.850000024,0.222222224,0.333048046,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187,0.333048046,0.785714269,0.649999976,0.111111112,0.5,0.800000012,0.181818187
